class,fpr,tpr
7 PVC,0.1206896551724138,0.8846153846153846
7 PVC,0.1206896551724138,0.9615384615384616
7 PVC,0.13793103448275862,0.9615384615384616
7 PVC,0.13793103448275862,1.0
7 PVC,0.23563218390804597,1.0
7 PVC,0.2471264367816092,1.0
7 PVC,0.4482758620689655,1.0
7 PVC,0.45977011494252873,1.0
7 PVC,1.0,1.0
8 Bigeminy,0.0,0.0
8 Bigeminy,0.0,0.09090909090909091
8 Bigeminy,0.0,0.9090909090909091
8 Bigeminy,0.06878306878306878,0.9090909090909091
8 Bigeminy,0.06878306878306878,1.0
8 Bigeminy,0.19576719576719576,1.0
8 Bigeminy,0.20634920634920634,1.0
8 Bigeminy,0.5132275132275133,1.0
8 Bigeminy,0.5238095238095238,1.0
8 Bigeminy,1.0,1.0
9 Trigeminy,0.0,0.0
9 Trigeminy,0.0,0.3333333333333333
9 Trigeminy,0.0,1.0
9 Trigeminy,0.41116751269035534,1.0
9 Trigeminy,0.4213197969543147,1.0
9 Trigeminy,0.9695431472081218,1.0
9 Trigeminy,0.9796954314720813,1.0
9 Trigeminy,1.0,1.0
