class,recall,precision
1 NSR,0.9824561403508771,0.7567567567567568
1 NSR,0.9824561403508771,0.7671232876712328
1 NSR,0.9824561403508771,0.7777777777777778
1 NSR,0.9824561403508771,0.7887323943661971
1 NSR,0.9824561403508771,0.8
1 NSR,0.9824561403508771,0.8115942028985508
1 NSR,0.9649122807017544,0.8088235294117647
1 NSR,0.9649122807017544,0.8208955223880597
1 NSR,0.9649122807017544,0.8333333333333334
1 NSR,0.9649122807017544,0.8461538461538461
1 NSR,0.9473684210526315,0.84375
1 NSR,0.9473684210526315,0.8571428571428571
1 NSR,0.9473684210526315,0.8709677419354839
1 NSR,0.9473684210526315,0.8852459016393442
1 NSR,0.9298245614035088,0.8833333333333333
1 NSR,0.9122807017543859,0.8813559322033898
1 NSR,0.8947368421052632,0.8793103448275862
1 NSR,0.8947368421052632,0.8947368421052632
1 NSR,0.8947368421052632,0.9107142857142857
1 NSR,0.8947368421052632,0.9272727272727272
1 NSR,0.8947368421052632,0.9444444444444444
1 NSR,0.8771929824561403,0.9433962264150944
1 NSR,0.8596491228070176,0.9423076923076923
1 NSR,0.8421052631578947,0.9411764705882353
1 NSR,0.8245614035087719,0.94
1 NSR,0.8070175438596491,0.9387755102040817
1 NSR,0.7894736842105263,0.9375
1 NSR,0.7719298245614035,0.9361702127659575
1 NSR,0.7543859649122807,0.9347826086956522
1 NSR,0.7543859649122807,0.9555555555555556
1 NSR,0.7368421052631579,0.9545454545454546
1 NSR,0.7368421052631579,0.9767441860465116
1 NSR,0.7192982456140351,0.9761904761904762
1 NSR,0.7192982456140351,1.0
1 NSR,0.7017543859649122,1.0
1 NSR,0.6842105263157895,1.0
1 NSR,0.6666666666666666,1.0
1 NSR,0.6491228070175439,1.0
1 NSR,0.631578947368421,1.0
1 NSR,0.6140350877192983,1.0
1 NSR,0.5964912280701754,1.0
1 NSR,0.5789473684210527,1.0
1 NSR,0.5614035087719298,1.0
1 NSR,0.543859649122807,1.0
1 NSR,0.5263157894736842,1.0
1 NSR,0.5087719298245614,1.0
1 NSR,0.49122807017543857,1.0
1 NSR,0.47368421052631576,1.0
1 NSR,0.45614035087719296,1.0
1 NSR,0.43859649122807015,1.0
1 NSR,0.42105263157894735,1.0
1 NSR,0.40350877192982454,1.0
1 NSR,0.38596491228070173,1.0
1 NSR,0.3684210526315789,1.0
1 NSR,0.3508771929824561,1.0
1 NSR,0.3333333333333333,1.0
1 NSR,0.2982456140350877,1.0
1 NSR,0.2807017543859649,1.0
1 NSR,0.2631578947368421,1.0
1 NSR,0.24561403508771928,1.0
1 NSR,0.22807017543859648,1.0
1 NSR,0.21052631578947367,1.0
1 NSR,0.19298245614035087,1.0
1 NSR,0.17543859649122806,1.0
1 NSR,0.15789473684210525,1.0
1 NSR,0.14035087719298245,1.0
1 NSR,0.12280701754385964,1.0
1 NSR,0.10526315789473684,1.0
1 NSR,0.08771929824561403,1.0
1 NSR,0.07017543859649122,1.0
1 NSR,0.05263157894736842,1.0
1 NSR,0.03508771929824561,1.0
1 NSR,0.017543859649122806,1.0
1 NSR,0.0,1.0
10 VT,1.0,0.01
10 VT,1.0,0.010050251256281407
10 VT,1.0,0.010101010101010102
10 VT,1.0,0.01015228426395939
10 VT,1.0,0.01020408163265306
10 VT,1.0,0.010256410256410256
10 VT,1.0,0.010309278350515464
10 VT,1.0,0.010362694300518135
10 VT,1.0,0.010416666666666666
10 VT,1.0,0.010471204188481676
10 VT,1.0,0.010526315789473684
10 VT,1.0,0.010582010582010581
10 VT,1.0,0.010638297872340425
10 VT,1.0,0.0106951871657754
10 VT,1.0,0.010752688172043012
10 VT,1.0,0.010810810810810811
10 VT,1.0,0.010869565217391304
10 VT,1.0,0.01092896174863388
10 VT,1.0,0.01098901098901099
10 VT,1.0,0.011049723756906077
10 VT,1.0,0.011111111111111112
10 VT,1.0,0.0111731843575419
10 VT,1.0,0.011235955056179775
10 VT,1.0,0.011299435028248588
10 VT,1.0,0.011363636363636364
10 VT,1.0,0.011428571428571429
10 VT,1.0,0.011494252873563218
10 VT,1.0,0.011560693641618497
10 VT,1.0,0.011627906976744186
10 VT,1.0,0.011695906432748537
10 VT,1.0,0.011764705882352941
10 VT,1.0,0.011834319526627219
10 VT,1.0,0.011904761904761904
10 VT,1.0,0.011976047904191617
10 VT,1.0,0.012048192771084338
10 VT,1.0,0.012121212121212121
10 VT,1.0,0.012195121951219513
10 VT,1.0,0.012269938650306749
10 VT,1.0,0.012345679012345678
10 VT,1.0,0.012422360248447204
10 VT,1.0,0.0125
10 VT,1.0,0.012658227848101266
10 VT,1.0,0.012738853503184714
10 VT,1.0,0.01282051282051282
10 VT,1.0,0.012903225806451613
10 VT,1.0,0.012987012987012988
10 VT,1.0,0.013071895424836602
10 VT,1.0,0.013157894736842105
10 VT,1.0,0.013245033112582781
10 VT,1.0,0.013333333333333334
10 VT,1.0,0.013422818791946308
10 VT,1.0,0.013513513513513514
10 VT,1.0,0.013605442176870748
10 VT,1.0,0.0136986301369863
10 VT,1.0,0.013793103448275862
10 VT,1.0,0.013888888888888888
10 VT,1.0,0.013986013986013986
10 VT,1.0,0.014084507042253521
10 VT,1.0,0.014184397163120567
10 VT,1.0,0.014285714285714285
10 VT,1.0,0.014388489208633094
10 VT,1.0,0.014492753623188406
10 VT,1.0,0.014598540145985401
10 VT,1.0,0.014705882352941176
10 VT,1.0,0.014814814814814815
10 VT,1.0,0.014925373134328358
10 VT,1.0,0.015037593984962405
10 VT,1.0,0.015151515151515152
10 VT,1.0,0.015267175572519083
10 VT,1.0,0.015384615384615385
10 VT,1.0,0.015503875968992248
10 VT,1.0,0.015625
10 VT,1.0,0.015748031496062992
10 VT,1.0,0.015873015873015872
10 VT,1.0,0.016
10 VT,1.0,0.016129032258064516
10 VT,1.0,0.016260162601626018
10 VT,1.0,0.01639344262295082
10 VT,1.0,0.01652892561983471
10 VT,1.0,0.016666666666666666
10 VT,1.0,0.01680672268907563
10 VT,1.0,0.01694915254237288
10 VT,1.0,0.017094017094017096
10 VT,1.0,0.017241379310344827
10 VT,1.0,0.017391304347826087
10 VT,1.0,0.017543859649122806
10 VT,1.0,0.017699115044247787
10 VT,1.0,0.017857142857142856
10 VT,1.0,0.018018018018018018
10 VT,1.0,0.01818181818181818
10 VT,1.0,0.01834862385321101
10 VT,1.0,0.018518518518518517
10 VT,1.0,0.018691588785046728
10 VT,1.0,0.018867924528301886
10 VT,1.0,0.01904761904761905
10 VT,1.0,0.019230769230769232
10 VT,1.0,0.019417475728155338
10 VT,1.0,0.0196078431372549
10 VT,1.0,0.019801980198019802
10 VT,1.0,0.02
10 VT,1.0,0.020202020202020204
10 VT,1.0,0.02040816326530612
10 VT,1.0,0.020618556701030927
10 VT,1.0,0.020833333333333332
10 VT,1.0,0.021052631578947368
10 VT,1.0,0.02127659574468085
10 VT,1.0,0.021505376344086023
10 VT,1.0,0.021739130434782608
10 VT,1.0,0.02197802197802198
10 VT,1.0,0.022222222222222223
10 VT,1.0,0.02247191011235955
10 VT,1.0,0.022727272727272728
10 VT,1.0,0.022988505747126436
10 VT,1.0,0.023255813953488372
10 VT,1.0,0.023529411764705882
10 VT,1.0,0.023809523809523808
10 VT,1.0,0.024096385542168676
10 VT,1.0,0.024390243902439025
10 VT,1.0,0.024691358024691357
10 VT,1.0,0.025
10 VT,1.0,0.02531645569620253
10 VT,1.0,0.02564102564102564
10 VT,1.0,0.025974025974025976
10 VT,1.0,0.02631578947368421
10 VT,1.0,0.02666666666666667
10 VT,1.0,0.02702702702702703
10 VT,1.0,0.0273972602739726
10 VT,1.0,0.027777777777777776
10 VT,1.0,0.028169014084507043
10 VT,1.0,0.02857142857142857
10 VT,1.0,0.028985507246376812
10 VT,1.0,0.029411764705882353
10 VT,1.0,0.029850746268656716
10 VT,1.0,0.030303030303030304
10 VT,1.0,0.03076923076923077
10 VT,1.0,0.03125
10 VT,1.0,0.031746031746031744
10 VT,1.0,0.03225806451612903
10 VT,1.0,0.03278688524590164
10 VT,1.0,0.03333333333333333
10 VT,1.0,0.034482758620689655
10 VT,1.0,0.03508771929824561
10 VT,1.0,0.03571428571428571
10 VT,1.0,0.03636363636363636
10 VT,1.0,0.037037037037037035
10 VT,1.0,0.03773584905660377
10 VT,1.0,0.038461538461538464
10 VT,1.0,0.0392156862745098
10 VT,1.0,0.04
10 VT,1.0,0.04081632653061224
10 VT,1.0,0.041666666666666664
10 VT,1.0,0.0425531914893617
10 VT,1.0,0.043478260869565216
10 VT,1.0,0.044444444444444446
10 VT,1.0,0.045454545454545456
10 VT,1.0,0.046511627906976744
10 VT,1.0,0.047619047619047616
10 VT,1.0,0.04878048780487805
10 VT,1.0,0.05
10 VT,1.0,0.05128205128205128
10 VT,1.0,0.05263157894736842
10 VT,1.0,0.05405405405405406
10 VT,1.0,0.05555555555555555
10 VT,1.0,0.05714285714285714
10 VT,1.0,0.058823529411764705
10 VT,1.0,0.06060606060606061
10 VT,1.0,0.0625
10 VT,1.0,0.06451612903225806
10 VT,1.0,0.06666666666666667
10 VT,1.0,0.06896551724137931
10 VT,1.0,0.07142857142857142
10 VT,1.0,0.07407407407407407
10 VT,1.0,0.07692307692307693
10 VT,1.0,0.08
10 VT,1.0,0.08333333333333333
10 VT,1.0,0.08695652173913043
10 VT,1.0,0.09090909090909091
10 VT,1.0,0.09523809523809523
10 VT,1.0,0.1
10 VT,1.0,0.10526315789473684
10 VT,1.0,0.1111111111111111
10 VT,1.0,0.11764705882352941
10 VT,1.0,0.125
10 VT,1.0,0.13333333333333333
10 VT,1.0,0.14285714285714285
10 VT,1.0,0.15384615384615385
10 VT,1.0,0.16666666666666666
10 VT,1.0,0.18181818181818182
10 VT,1.0,0.2
10 VT,1.0,0.2222222222222222
10 VT,1.0,0.25
10 VT,1.0,0.2857142857142857
10 VT,1.0,0.3333333333333333
10 VT,1.0,0.4
10 VT,1.0,0.5
10 VT,1.0,0.6666666666666666
10 VT,1.0,1.0
10 VT,0.5,1.0
10 VT,0.0,1.0
11 IVR,1.0,0.01
11 IVR,1.0,0.010050251256281407
11 IVR,1.0,0.010101010101010102
11 IVR,1.0,0.01015228426395939
11 IVR,1.0,0.01020408163265306
11 IVR,1.0,0.010256410256410256
11 IVR,1.0,0.010309278350515464
11 IVR,1.0,0.010362694300518135
11 IVR,1.0,0.010416666666666666
11 IVR,1.0,0.010471204188481676
11 IVR,1.0,0.010526315789473684
11 IVR,1.0,0.010582010582010581
11 IVR,1.0,0.010638297872340425
11 IVR,1.0,0.0106951871657754
11 IVR,1.0,0.010752688172043012
11 IVR,1.0,0.010810810810810811
11 IVR,1.0,0.010869565217391304
11 IVR,1.0,0.01092896174863388
11 IVR,1.0,0.011049723756906077
11 IVR,1.0,0.011111111111111112
11 IVR,1.0,0.0111731843575419
11 IVR,1.0,0.011235955056179775
11 IVR,1.0,0.011299435028248588
11 IVR,1.0,0.011363636363636364
11 IVR,1.0,0.011428571428571429
11 IVR,1.0,0.011494252873563218
11 IVR,1.0,0.011560693641618497
11 IVR,1.0,0.011627906976744186
11 IVR,1.0,0.011695906432748537
11 IVR,1.0,0.011764705882352941
11 IVR,1.0,0.011834319526627219
11 IVR,1.0,0.011904761904761904
11 IVR,1.0,0.011976047904191617
11 IVR,1.0,0.012048192771084338
11 IVR,1.0,0.012121212121212121
11 IVR,1.0,0.012195121951219513
11 IVR,1.0,0.012269938650306749
11 IVR,1.0,0.012345679012345678
11 IVR,1.0,0.012422360248447204
11 IVR,1.0,0.0125
11 IVR,1.0,0.012578616352201259
11 IVR,1.0,0.012658227848101266
11 IVR,1.0,0.012738853503184714
11 IVR,1.0,0.01282051282051282
11 IVR,1.0,0.012903225806451613
11 IVR,1.0,0.012987012987012988
11 IVR,1.0,0.013071895424836602
11 IVR,1.0,0.013157894736842105
11 IVR,1.0,0.013245033112582781
11 IVR,1.0,0.013333333333333334
11 IVR,1.0,0.013422818791946308
11 IVR,1.0,0.013513513513513514
11 IVR,1.0,0.013605442176870748
11 IVR,1.0,0.0136986301369863
11 IVR,1.0,0.013793103448275862
11 IVR,1.0,0.013888888888888888
11 IVR,1.0,0.013986013986013986
11 IVR,1.0,0.014084507042253521
11 IVR,1.0,0.014184397163120567
11 IVR,1.0,0.014285714285714285
11 IVR,1.0,0.014388489208633094
11 IVR,1.0,0.014492753623188406
11 IVR,1.0,0.014598540145985401
11 IVR,1.0,0.014705882352941176
11 IVR,1.0,0.014814814814814815
11 IVR,1.0,0.014925373134328358
11 IVR,1.0,0.015037593984962405
11 IVR,1.0,0.015151515151515152
11 IVR,1.0,0.015267175572519083
11 IVR,1.0,0.015384615384615385
11 IVR,1.0,0.015503875968992248
11 IVR,1.0,0.015625
11 IVR,1.0,0.015748031496062992
11 IVR,1.0,0.015873015873015872
11 IVR,1.0,0.016
11 IVR,1.0,0.016129032258064516
11 IVR,1.0,0.016260162601626018
11 IVR,1.0,0.01639344262295082
11 IVR,1.0,0.01652892561983471
11 IVR,1.0,0.016666666666666666
11 IVR,1.0,0.01680672268907563
11 IVR,1.0,0.01694915254237288
11 IVR,1.0,0.017094017094017096
11 IVR,1.0,0.017241379310344827
11 IVR,1.0,0.017391304347826087
11 IVR,1.0,0.017543859649122806
11 IVR,1.0,0.017699115044247787
11 IVR,1.0,0.017857142857142856
11 IVR,1.0,0.018018018018018018
11 IVR,1.0,0.01818181818181818
11 IVR,1.0,0.01834862385321101
11 IVR,1.0,0.018518518518518517
11 IVR,1.0,0.018691588785046728
11 IVR,1.0,0.018867924528301886
11 IVR,1.0,0.01904761904761905
11 IVR,1.0,0.019230769230769232
11 IVR,1.0,0.019417475728155338
11 IVR,1.0,0.0196078431372549
11 IVR,1.0,0.019801980198019802
11 IVR,1.0,0.02
11 IVR,1.0,0.020202020202020204
11 IVR,1.0,0.02040816326530612
11 IVR,1.0,0.020618556701030927
11 IVR,1.0,0.020833333333333332
11 IVR,1.0,0.021052631578947368
11 IVR,1.0,0.02127659574468085
11 IVR,1.0,0.021505376344086023
11 IVR,1.0,0.021739130434782608
11 IVR,1.0,0.02197802197802198
11 IVR,1.0,0.022222222222222223
11 IVR,1.0,0.02247191011235955
11 IVR,1.0,0.022727272727272728
11 IVR,1.0,0.022988505747126436
11 IVR,1.0,0.023255813953488372
11 IVR,1.0,0.023529411764705882
11 IVR,1.0,0.023809523809523808
11 IVR,1.0,0.024096385542168676
11 IVR,1.0,0.024390243902439025
11 IVR,1.0,0.024691358024691357
11 IVR,1.0,0.025
11 IVR,1.0,0.02531645569620253
11 IVR,1.0,0.02564102564102564
11 IVR,1.0,0.025974025974025976
11 IVR,1.0,0.02631578947368421
11 IVR,1.0,0.02666666666666667
11 IVR,1.0,0.02702702702702703
11 IVR,1.0,0.0273972602739726
11 IVR,1.0,0.027777777777777776
11 IVR,1.0,0.028169014084507043
11 IVR,1.0,0.02857142857142857
11 IVR,1.0,0.028985507246376812
11 IVR,1.0,0.029411764705882353
11 IVR,1.0,0.029850746268656716
11 IVR,1.0,0.030303030303030304
